p_id,p_model,p_stock,p_shipping,gm_show_qty_info,p_status,p_startpage,p_sorting,p_startpage_sort
173,1105004,100,2,0,1,0,None,None
175,1105006,50,2,0,1,0,None,None
177,1105008,100,2,0,1,0,None,None
178,1105009,100,2,0,1,0,None,None
179,1502001,100,2,0,1,0,None,None
180,1105011,100,2,0,1,0,None,None
181,1105012,100,2,0,1,0,None,None
182,1105013,100,2,0,1,0,None,None
183,1105014,100,2,0,1,0,None,None
184,1105015,100,2,0,1,0,None,None
185,1105016,100,2,0,1,0,None,None
186,1105017,100,2,0,1,0,None,None
187,1105018,50,2,0,1,0,None,None
188,1105019,100,2,0,1,0,None,None
189,1105020,100,2,0,1,0,None,None
190,1310016,0,2,1,0,0,None,None
191,1310015,0,2,1,0,0,None,None
192,1310014,0,2,1,0,0,None,None
193,1310013,0,2,1,0,0,None,None
194,1310012,0,2,1,0,0,None,None
195,1310011,0,2,1,0,0,None,None
196,1310010,0,9,0,1,0,None,None
197,1310009,0,2,1,0,0,None,None
198,1310008,0,2,1,0,0,None,None
199,1310007,0,9,0,1,0,None,None
200,1310006,0,2,1,0,0,None,None
201,1310005,0,2,1,0,0,None,None
202,1310004,0,2,1,0,0,None,None
203,1310003,0,2,1,0,0,None,None
204,1310002,0,2,1,0,0,None,None
205,1310001,0,2,1,0,0,None,None
206,1309008,0,2,1,0,0,None,None
207,1106013,100,2,0,1,0,None,None
208,1309002,0,2,1,0,0,None,None
209,1309001,0,2,1,0,0,None,None
210,1308005,0,2,1,0,0,None,None
211,1308004,0,2,1,0,0,None,None
212,1308003,0,9,0,1,0,None,None
213,1308002,0,9,0,1,0,None,None
214,1308001,0,2,1,0,0,None,None
219,1107002,10,2,0,1,0,None,None
220,1306019,0,9,0,1,0,None,None
221,1108002,100,2,0,1,0,None,None
222,1305004,0,2,1,0,0,None,None
223,1305003,0,2,1,0,0,None,None
224,1305002,0,2,1,0,0,None,None
225,1305001,0,2,1,0,0,None,None
226,1304006,0,2,1,0,0,None,None
227,1304005,0,2,1,0,0,None,None
228,1304004,0,2,1,0,0,None,None
229,1304003,0,2,1,0,0,None,None
230,1304002,0,2,1,0,0,None,None
231,1304014,0,2,1,0,0,None,None
232,1303005,0,9,0,1,0,None,None
233,1303004,0,9,0,1,0,None,None
234,1303003,0,9,0,1,0,None,None
235,1110006,100,2,0,1,0,None,None
236,1303001,0,9,0,1,0,None,None
237,1302020,0,2,1,0,0,None,None
238,1302019,0,2,1,0,0,None,None
239,1302018,0,2,1,0,0,None,None
240,1302017,0,2,1,0,0,None,None
242,1302015,0,2,1,0,0,None,None
243,1302014,0,2,1,0,0,None,None
244,1302013,0,2,1,0,0,None,None
245,1302012,0,2,1,0,0,None,None
246,1302011,0,2,1,0,0,None,None
247,1302010,0,2,1,0,0,None,None
248,1302009,0,2,1,0,0,None,None
249,1302008,0,2,1,0,0,None,None
250,1302007,0,2,1,0,0,None,None
251,1302006,0,2,1,0,0,None,None
252,1302005,0,2,1,0,0,None,None
253,1114007,50,2,0,1,0,None,None
254,1114008,100,2,0,1,0,None,None
255,1302002,0,2,1,0,0,None,None
256,1302001,0,2,1,0,0,None,None
258,1301006,0,9,0,1,0,None,None
259,1115002,50,2,0,1,0,None,None
260,1301004,0,9,0,1,0,None,None
262,1301002,0,9,0,1,0,None,None
263,1301001,0,9,0,1,0,None,None
264,1206005,0,2,1,0,0,None,None
265,1206004,0,2,1,0,0,None,None
266,1116003,100,2,0,1,0,None,None
267,1116004,100,2,0,1,0,None,None
268,1116005,100,2,0,1,0,None,None
269,1116006,100,2,0,1,0,None,None
270,1116007,100,2,0,1,0,None,None
272,1201003,0,2,1,0,0,None,None
274,1201001,0,2,1,0,1,None,None
275,1116034,0,2,1,0,0,None,None
276,1116033,0,2,1,0,0,None,None
284,1116025,100,2,0,1,0,None,None
285,1116024,10,2,0,1,0,None,None
286,1116023,100,2,0,1,0,None,None
287,1013024,100,2,0,1,0,None,None
288,1013025,100,2,0,1,0,None,None
307,1013026,100,2,0,1,0,None,None
308,1013027,100,2,0,1,0,None,None
309,1013028,50,2,0,1,0,None,None
311,1013030,100,2,0,1,0,None,None
312,1013031,100,2,0,1,0,None,None
313,1013032,100,2,0,1,0,None,None
315,2004131,100,2,0,1,0,None,None
328,1115022,100,2,0,1,0,None,None
329,1115021,100,2,0,1,0,None,None
330,1115020,100,2,0,1,0,None,None
333,1015013,100,2,0,1,0,None,None
334,1015014,100,2,0,1,0,None,None
335,1015015,100,2,0,1,0,None,None
336,1015016,100,2,0,1,0,None,None
337,1015017,100,2,0,1,0,None,None
338,1115012,10,2,0,1,0,None,None
339,1115011,0,2,1,0,0,None,None
340,1115010,10,2,0,1,0,None,None
341,1115009,100,2,0,1,0,None,None
342,1115008,0,2,1,0,0,None,None
343,1015023,100,2,0,1,0,None,None
344,1015024,100,2,0,1,0,None,None
345,1015025,100,2,0,1,0,None,None
346,1115004,0,2,1,0,0,None,None
347,1115003,0,2,1,0,0,None,None
349,1115001,100,2,0,1,0,None,None
351,1114023,0,2,1,0,0,None,None
352,1114022,100,2,0,1,0,None,None
353,1114021,100,2,0,1,0,None,None
354,1114020,100,2,0,1,0,None,None
355,1114019,0,2,1,0,0,None,None
356,1114018,100,2,0,1,0,None,None
357,1114017,100,2,0,1,0,None,None
358,1114016,100,2,0,1,0,None,None
359,1114015,100,2,0,1,0,None,None
360,1114025,100,2,0,1,0,None,None
363,1114011,100,2,0,1,0,None,None
364,1114010,100,2,0,1,0,None,None
365,1114009,100,2,0,1,0,None,None
368,1114006,100,2,0,1,0,None,None
369,1019003,100,2,0,1,0,None,None
370,1019004,50,2,0,1,0,None,None
371,1114003,0,2,1,0,0,None,None
372,1114002,100,2,0,1,0,None,None
373,1019007,100,2,0,1,0,None,None
379,1113005,0,2,1,0,0,None,None
380,1113004,100,2,0,1,0,None,None
381,1113003,100,2,0,1,0,None,None
382,1113002,100,2,0,1,0,None,None
383,1113001,100,2,0,1,0,None,None
384,1112017,100,2,0,1,0,None,None
385,1112018,100,2,0,1,0,None,None
386,1112015,100,2,0,1,0,None,None
387,1112014,100,2,0,1,0,None,None
388,1112013,50,2,0,1,0,None,None
389,1112012,100,2,0,1,0,None,None
391,1112010,100,2,0,1,0,None,None
392,1112009,100,2,0,1,1,None,None
396,1111006,0,9,0,1,0,None,None
397,1103004,10,2,0,1,0,None,None
398,1103005,50,2,0,1,0,None,None
399,1103006,7,2,1,1,0,None,None
400,1111002,100,2,0,1,0,None,None
401,1111001,100,2,0,1,0,None,None
407,1110019,10,2,0,1,0,None,None
408,1110018,100,2,0,1,0,None,None
416,1110010,0,2,1,0,0,None,None
424,1110002,100,2,0,1,0,None,None
427,1109005,0,2,1,0,0,None,None
429,1109003,0,2,1,0,0,None,None
430,1109002,0,2,1,0,0,None,None
431,1104023,100,2,0,1,0,None,None
433,1104025,9,2,1,1,0,None,None
436,1108007,100,2,0,1,0,None,None
437,1108006,50,2,0,1,0,None,None
440,1108003,100,2,0,1,0,None,None
442,1108001,100,2,0,1,0,None,None
443,1107004,100,2,0,1,0,None,None
446,1107001,100,2,0,1,0,None,None
451,1104043,10,2,0,1,0,None,None
452,1106041,100,2,0,1,0,None,None
456,1106037,0,2,1,0,0,None,None
457,1106036,100,2,0,1,0,None,None
460,1106033,100,2,0,1,0,None,None
461,1106032,100,2,0,1,1,None,None
462,1106031,100,2,0,1,0,None,None
463,1106030,100,2,0,1,0,None,None
464,1106029,100,2,0,1,0,None,None
465,1106028,100,2,0,1,0,None,None
466,1106027,100,2,0,1,0,None,None
468,1106025,0,2,1,0,0,None,None
469,1104061,100,2,0,1,0,None,None
470,1106023,50,2,0,1,0,None,None
471,1106022,0,9,0,1,0,None,None
473,1106020,0,9,0,1,0,None,None
478,1104070,100,2,0,1,0,None,None
479,1104071,100,2,0,1,0,None,None
480,1104072,50,2,0,1,0,None,None
482,1106011,100,2,0,1,0,None,None
